ZIP_CODE,HUD_AREA_CODE,CITY_STATE,RENT_STUDIO,RENT_STUDIO_90,RENT_STUDIO_110,RENT_1BD,RENT_1BD_90,RENT_1BD_110,RENT_2BD,RENT_2BD_90,RENT_2BD_110,RENT_3BD,RENT_3BD_90,RENT_3BD_110,RENT_4BD,RENT_4BD_90,RENT_4BD_110,GEO_ID,MEDIAN_INCOME_HOUSEHOLD_EST,TOTAL_HOUSEHOLDS_EST
94503,METRO34900M34900,"Napa, CA MSA",2140,1926,2354,2370,2133,2607,3110,2799,3421,3960,3564,4356,4630,4167,5093,860Z200US94503,123657,5971
94508,METRO34900M34900,"Napa, CA MSA",1730,1557,1903,1920,1728,2112,2520,2268,2772,3280,2952,3608,3730,3357,4103,860Z200US94508,116534,967
94515,METRO34900M34900,"Napa, CA MSA",1730,1557,1903,1920,1728,2112,2520,2268,2772,3370,3033,3707,3730,3357,4103,860Z200US94515,97202,2671
94534,METRO34900M34900,"Napa, CA MSA",2030,1827,2233,2210,1989,2431,2820,2538,3102,3770,3393,4147,4270,3843,4697,860Z200US94534,139349,13738
94558,METRO34900M34900,"Napa, CA MSA",2000,1800,2200,2210,1989,2431,2900,2610,3190,3690,3321,4059,4320,3888,4752,860Z200US94558,109444,24501
94559,METRO34900M34900,"Napa, CA MSA",1880,1692,2068,2080,1872,2288,2730,2457,3003,3480,3132,3828,4070,3663,4477,860Z200US94559,100559,10560
94567,METRO34900M34900,"Napa, CA MSA",1920,1728,2112,2130,1917,2343,2790,2511,3069,3550,3195,3905,4160,3744,4576,860Z200US94567,71250,231
94574,METRO34900M34900,"Napa, CA MSA",1730,1557,1903,1920,1728,2112,2520,2268,2772,3370,3033,3707,3730,3357,4103,860Z200US94574,139779,3293
94591,METRO34900M34900,"Napa, CA MSA",1730,1557,1903,1920,1728,2112,2520,2268,2772,3280,2952,3608,3730,3357,4103,860Z200US94591,107849,19711
94599,METRO34900M34900,"Napa, CA MSA",1880,1692,2068,2070,1863,2277,2720,2448,2992,3460,3114,3806,4060,3654,4466,860Z200US94599,79696,1507
95461,METRO34900M34900,"Napa, CA MSA",1760,1584,1936,1920,1728,2112,2520,2268,2772,3370,3033,3707,3890,3501,4279,860Z200US95461,81830,1319
95476,METRO34900M34900,"Napa, CA MSA",1970,1773,2167,2180,1962,2398,2860,2574,3146,3930,3537,4323,4200,3780,4620,860Z200US95476,108322,14996
94501,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2270,2043,2497,2530,2277,2783,3090,2781,3399,3950,3555,4345,4680,4212,5148,860Z200US94501,119500,25028
94502,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2450,2205,2695,2790,2511,3069,3390,3051,3729,4330,3897,4763,5150,4635,5665,860Z200US94502,194821,4782
94505,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2690,2421,2959,3000,2700,3300,3660,3294,4026,4680,4212,5148,5550,4995,6105,860Z200US94505,154063,5522
94506,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2750,2475,3025,3070,2763,3377,3740,3366,4114,4780,4302,5258,5670,5103,6237,860Z200US94506,"250,000+",9294
