X,Y,Z,Name,City,Field_1,Name2,Public URL,Street
-121.891094084081,37.410282359961,0,Milpitas,Milpitas,Milpitas,Milpitas,"<a target=""_blank"" href=""https://www.bart.gov/stations/mlpt"">https://www.bart.gov/stations/mlpt</a>",S Milpitas Blvd
-121.87469384313,37.3684782891037,0,Berryessa/North San José,"San José, CA 95133",Berryessa/North San José,Berryessa/North San José,"<a target=""_blank"" href=""https://www.bart.gov/stations/bery"">https://www.bart.gov/stations/bery</a>",1620 Berryessa Road
-122.413936415216,37.7793938607628,0,Civic Center/UN Plaza,San Francisco,Civic Center/UN Plaza,Civic Center/UN Plaza,"<a target=""_blank"" href=""https://www.bart.gov/stations/civc"">https://www.bart.gov/stations/civc</a>",1150 Market Street
-122.02906202247,37.9738249858711,0,Concord,Concord,Concord,Concord,"<a target=""_blank"" href=""https://www.bart.gov/stations/conc"">https://www.bart.gov/stations/conc</a>",1451 Oakland Ave
-122.46622315595,37.6846216074974,0,Colma,Colma,Colma,Colma,"<a target=""_blank"" href=""https://www.bart.gov/stations/colm"">https://www.bart.gov/stations/colm</a>",365 D Street
-122.298948407196,37.9026352265032,0,El Cerrito Plaza,El Cerrito,El Cerrito Plaza,El Cerrito Plaza,"<a target=""_blank"" href=""https://www.bart.gov/stations/plza"">https://www.bart.gov/stations/plza</a>",6699 Fairmount Ave
-122.468911907166,37.7063332133776,0,Daly City,Daly City,Daly City,Daly City,"<a target=""_blank"" href=""https://www.bart.gov/stations/daly"">https://www.bart.gov/stations/daly</a>",500 John Daly Boulevard
-122.024552314249,38.0033245167977,0,North Concord/Martinez,Concord,North Concord/Martinez,North Concord/Martinez,"<a target=""_blank"" href=""https://www.bart.gov/stations/ncon"">https://www.bart.gov/stations/ncon</a>",3700 Port Chicago Highway
-121.976626395132,37.5574744273505,0,Fremont,Fremont,Fremont,Fremont,"<a target=""_blank"" href=""https://www.bart.gov/stations/frmt"">https://www.bart.gov/stations/frmt</a>",2000 Bart Way
-122.433790088383,37.7331123945195,0,Glen Park,San Francisco,Glen Park,Glen Park,"<a target=""_blank"" href=""https://www.bart.gov/stations/glen"">https://www.bart.gov/stations/glen</a>",2901 Diamond St
-122.086959953278,37.6696973835548,0,Hayward,Hayward,Hayward,Hayward,"<a target=""_blank"" href=""https://www.bart.gov/stations/hayw"">https://www.bart.gov/stations/hayw</a>",699 B Street
