SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,06,001,California,Alameda County,1,1682296,834834,847462,93204,47631,45573,173996,89356,84640,76110,38773,37337,135654,67350,68304,1376938,678321,698617,1338986,659074,679912,728754,367071,361683,536174,270793,265381,428939,214995,213944,238219,105936,132283,93204,47631,45573,95095,48764,46331,98085,50437,47648,97815,49258,48557,94765,47020,47745,127501,63987,63514,147006,74267,72739,139923,70826,69097,121744,61713,60031,114577,57930,56647,108812,55204,53608,107996,53790,54206,97554,48071,49483,80139,37908,42231,62894,28879,34015,39910,17724,22186,26302,11158,15144,28974,10267,18707,38.1,37.5,38.7
050,06,001,California,Alameda County,2,1680614,834083,846531,92436,47190,45246,173070,88909,84161,76139,38826,37313,135395,67212,68183,1376888,678398,698490,1338969,659158,679811,727701,366567,361134,535415,270422,264993,428429,214867,213562,239730,106657,133073,92436,47190,45246,94707,48620,46087,97611,50182,47429,97793,49256,48537,94493,46889,47604,125925,63176,62749,147115,74259,72856,140157,71027,69130,122218,61960,60258,114241,57766,56475,108927,55314,53613,107563,53626,53937,97698,48161,49537,80393,38086,42307,63460,29091,34369,40341,17909,22432,26442,11220,15222,29094,10351,18743,38.2,37.6,38.8
050,06,001,California,Alameda County,3,1643856,816396,827460,87486,44553,42933,167652,85996,81656,75574,38729,36845,124230,62298,61932,1350552,666189,684363,1313144,647118,666026,700735,354052,346683,520207,262958,257249,422756,212254,210502,245951,109608,136343,87486,44553,42933,92313,47442,44871,94615,48487,46128,92520,47067,45453,88008,44027,43981,115869,58144,57725,143480,72175,71305,138007,70294,67713,122851,62345,60506,111649,56392,55257,109115,55490,53625,104895,52496,52399,97097,47876,49221,81409,38752,42657,66122,30147,35975,42096,18652,23444,27083,11489,15594,29241,10568,18673,38.9,38.3,39.5
050,06,001,California,Alameda County,4,1635693,811630,824063,84903,43496,41407,162600,83340,79260,75835,39032,36803,129124,64657,64467,1349820,665034,684786,1312355,645762,666593,698415,352370,346045,512743,258612,254131,417537,209532,208005,252951,112961,139990,84903,43496,41407,90345,46327,44018,91542,46944,44598,95989,48682,47307,89683,45076,44607,111923,55724,56199,141267,70933,70334,136096,69452,66644,123457,62503,60954,110136,55440,54696,108620,55061,53559,101926,51233,50693,96855,47798,49057,82125,39260,42865,66464,30253,36211,46202,20575,25627,28237,11976,16261,29923,10897,19026,39.1,38.5,39.8
050,06,001,California,Alameda County,5,1638142,812908,825234,83868,43177,40691,159654,81839,77815,75542,38956,36586,131151,65887,65264,1356928,668530,688398,1319078,648936,670142,699603,353315,346288,511367,257909,253458,415234,208209,207025,261326,116931,144395,83868,43177,40691,88575,45230,43345,89536,46046,43490,97140,49468,47672,91096,45938,45158,109997,54598,55399,139718,70056,69662,136611,69809,66802,125041,63446,61595,109953,55238,54715,108333,54737,53596,100003,50504,49499,96945,47730,49215,83342,39903,43439,67928,31026,36902,49172,21901,27271,29896,12717,17179,30988,11384,19604,39.3,38.7,40.0
050,06,001,California,Alameda County,6,1649060,818318,830742,83210,42990,40220,158526,81285,77241,74901,38705,36196,133906,67347,66559,1370852,675272,695580,1332423,655338,677085,702308,354673,347635,511551,257925,253626,416134,208637,207497,270832,121429,149403,83210,42990,40220,87691,44706,42985,88885,45883,43002,97539,49751,47788,93218,46997,46221,108602,53870,54732,137149,68620,68529,139280,71243,68037,126520,64192,62328,111101,56010,55091,107833,54373,53460,99544,50268,49276,97656,47986,49670,84634,40589,44045,69718,31947,37771,52265,23268,28997,31658,13571,18087,32557,12054,20503,39.6,38.9,40.3
050,06,003,California,Alpine County,1,1176,626,550,47,19,28,104,52,52,66,37,29,83,40,43,999,542,457,959,518,441,340,183,157,204,116,88,363,194,169,309,168,141,47,19,28,50,22,28,67,40,27,75,41,34,61,26,35,58,35,23,54,29,25,43,24,19,49,28,21,74,35,39,71,37,34,96,63,33,122,59,63,125,76,49,96,49,47,45,21,24,24,13,11,19,9,10,50.7,51.4,49.6
050,06,003,California,Alpine County,2,1179,629,550,49,21,28,103,49,54,66,38,28,81,41,40,1001,544,457,961,521,440,344,189,155,210,120,90,359,192,167,311,168,143,49,21,28,49,21,28,67,38,29,75,43,32,59,26,33,61,37,24,54,30,24,46,25,21,49,28,21,74,35,39,72,39,33,95,60,35,118,58,60,124,75,49,97,49,48,47,22,25,24,13,11,19,9,10,50.4,51.0,49.6
050,06,003,California,Alpine County,3,1203,647,556,51,23,28,93,43,50,67,38,29,74,42,32,1032,563,469,992,543,449,374,206,168,248,135,113,358,196,162,312,170,142,51,23,28,42,19,23,66,33,33,82,48,34,44,23,21,74,37,37,61,40,21,60,28,32,53,30,23,74,36,38,80,44,36,89,54,35,115,62,53,116,70,46,103,52,51,51,27,24,17,9,8,25,12,13,49.7,50.7,48.5
050,06,003,California,Alpine County,4,1169,636,533,48,25,23,91,40,51,51,26,25,96,58,38,1005,558,447,979,545,434,370,211,159,235,133,102,337,183,154,311,171,140,48,25,23,52,23,29,51,23,28,76,42,34,59,36,23,56,35,21,70,42,28,61,29,32,48,27,21,68,29,39,77,43,34,80,46,34,112,65,47,104,62,42,101,52,49,61,34,27,21,9,12,24,14,10,49.6,51.0,48.2
