" ","2020","2024"
"Crimes","",""
"Violent Crimes","9,645","13,075"
"Homicide","143","132"
"Rape (Forcible Rape prior to 2014)","684","596"
"Rape","651","569"
"Attempted Rape","33","27"
"Robbery","4,149","4,591"
"Weapon","",""
"Firearm","1,457","2,007"
"Knife or Cutting Instrument","310","261"
"Other Weapon","305","367"
"Strong-Arm","2,077","1,956"
"Location","",""
"Highway","2,081","2,524"
"Commercial","335","479"
"Gas Station","123","178"
"Convenience Store","326","281"
"Residence","311","313"
"Bank","40","55"
"Miscellaneous","933","761"
"Aggravated Assault","4,669","7,756"
"Weapon","",""
"Firearm","1,296","2,358"
"Knife or Cutting Instrument","518","343"
"Other Weapon","2,036","3,503"
"Hands  Fists  Feet","819","1,552"
"Property Crimes","58,293","70,676"
"Burglary","7,034","7,722"
"Means of Entry","",""
"Forcible Entry","5,049","5,136"
"No Force","1,985","2,586"
"Location / Time","",""
"Residence","2,944","2,509"
"Night","1,132","1,045"
"Day","1,041","1,090"
"Unknown","771","374"
"Non-Residence","4,090","5,213"
"Night","2,152","3,045"
"Day","880","1,528"
"Unknown","1,058","640"
"Motor Vehicle Theft","14,456","20,121"
"Automotive","12,452","18,118"
"Trucks and Buses","1,425","1,042"
"Other","579","961"
"Larceny-Theft","36,803","42,833"
"Type","",""
"Pocket-Picking","701","280"
"Purse-Snatching","236","251"
"Shoplifting","3,232","6,362"
"From Motor Vehicle","16,081","15,850"
"Motor Vehicle Accessories","5,614","8,923"
"Bicycles","1,394","1,056"
"From Building","1,330","1,292"
"Coin Operated Machine","33","64"
"Other","8,182","8,755"
"Value","",""
"Over $400","16,327","null"
"Over $200","0","21,282"
"$200 through $400","4,115","null"
"$50 through $199","4,571","4,448"
"Under $50","11,790","17,103"
"Arson","495","395"
"Structural Property","232","76"
"Mobile Property","194","95"
"Other Property","69","224"
