" ","2020","2024"
"Crimes","",""
"Violent Crimes","3,870","4,437"
"Homicide","44","38"
"Rape (Forcible Rape prior to 2014)","283","297"
"Rape","264","272"
"Attempted Rape","19","25"
"Robbery","1,158","1,250"
"Weapon","",""
"Firearm","344","323"
"Knife or Cutting Instrument","90","95"
"Other Weapon","99","266"
"Strong-Arm","625","566"
"Location","",""
"Highway","300","300"
"Commercial","239","370"
"Gas Station","45","38"
"Convenience Store","129","83"
"Residence","145","157"
"Bank","30","28"
"Miscellaneous","270","274"
"Aggravated Assault","2,385","2,852"
"Weapon","",""
"Firearm","739","626"
"Knife or Cutting Instrument","322","319"
"Other Weapon","854","1,061"
"Hands  Fists  Feet","470","846"
"Property Crimes","23,698","25,104"
"Burglary","3,261","3,496"
"Means of Entry","",""
"Forcible Entry","2,283","2,663"
"No Force","978","833"
"Location / Time","",""
"Residence","1,278","950"
"Night","435","397"
"Day","557","492"
"Unknown","286","61"
"Non-Residence","1,983","2,546"
"Night","1,067","1,286"
"Day","537","977"
"Unknown","379","283"
"Motor Vehicle Theft","5,147","5,963"
"Automotive","3,485","4,259"
"Trucks and Buses","1,325","1,297"
"Other","337","407"
"Larceny-Theft","15,290","15,645"
"Type","",""
"Pocket-Picking","74","220"
"Purse-Snatching","52","64"
"Shoplifting","2,211","4,744"
"From Motor Vehicle","5,898","3,862"
"Motor Vehicle Accessories","2,293","2,032"
"Bicycles","506","451"
"From Building","1,004","921"
"Coin Operated Machine","14","5"
"Other","3,238","3,346"
"Value","",""
"Over $400","6,811","null"
"Over $200","0","9,338"
"$200 through $400","1,803","null"
"$50 through $199","2,425","2,560"
"Under $50","4,251","3,747"
"Arson","286","204"
"Structural Property","98","39"
"Mobile Property","106","30"
"Other Property","82","135"
