" ","2020","2024"
"Crimes","",""
"Violent Crimes","623","625"
"Homicide","1","1"
"Rape (Forcible Rape prior to 2014)","52","65"
"Rape","48","65"
"Attempted Rape","4","0"
"Robbery","123","151"
"Weapon","",""
"Firearm","14","30"
"Knife or Cutting Instrument","17","14"
"Other Weapon","9","41"
"Strong-Arm","83","66"
"Location","",""
"Highway","47","48"
"Commercial","27","26"
"Gas Station","6","3"
"Convenience Store","9","17"
"Residence","5","12"
"Bank","5","2"
"Miscellaneous","24","43"
"Aggravated Assault","447","408"
"Weapon","",""
"Firearm","28","30"
"Knife or Cutting Instrument","64","55"
"Other Weapon","101","191"
"Hands  Fists  Feet","254","132"
"Property Crimes","5,273","3,719"
"Burglary","798","397"
"Means of Entry","",""
"Forcible Entry","445","162"
"No Force","353","235"
"Location / Time","",""
"Residence","330","140"
"Night","96","45"
"Day","154","67"
"Unknown","80","28"
"Non-Residence","468","257"
"Night","192","122"
"Day","204","113"
"Unknown","72","22"
"Motor Vehicle Theft","787","458"
"Automotive","494","300"
"Trucks and Buses","252","107"
"Other","41","51"
"Larceny-Theft","3,688","2,864"
"Type","",""
"Pocket-Picking","9","37"
"Purse-Snatching","11","32"
"Shoplifting","286","765"
"From Motor Vehicle","1,389","645"
"Motor Vehicle Accessories","478","136"
"Bicycles","468","338"
"From Building","244","173"
"Coin Operated Machine","2","5"
"Other","801","733"
"Value","",""
"Over $400","2,003","null"
"Over $200","0","1,739"
"$200 through $400","426","null"
"$50 through $199","480","399"
"Under $50","779","726"
"Arson","51","43"
"Structural Property","25","9"
"Mobile Property","2","2"
"Other Property","24","32"
