" ","2020","2024"
"Crimes","",""
"Violent Crimes","539","418"
"Homicide","1","7"
"Rape (Forcible Rape prior to 2014)","65","49"
"Rape","64","47"
"Attempted Rape","1","2"
"Robbery","59","53"
"Weapon","",""
"Firearm","15","7"
"Knife or Cutting Instrument","4","5"
"Other Weapon","4","15"
"Strong-Arm","36","26"
"Location","",""
"Highway","14","13"
"Commercial","17","15"
"Gas Station","0","2"
"Convenience Store","4","3"
"Residence","8","5"
"Bank","1","1"
"Miscellaneous","15","14"
"Aggravated Assault","414","309"
"Weapon","",""
"Firearm","50","14"
"Knife or Cutting Instrument","62","26"
"Other Weapon","70","130"
"Hands  Fists  Feet","232","139"
"Property Crimes","2,306","1,656"
"Burglary","522","111"
"Means of Entry","",""
"Forcible Entry","194","83"
"No Force","328","28"
"Location / Time","",""
"Residence","190","48"
"Night","41","18"
"Day","70","30"
"Unknown","79","0"
"Non-Residence","332","63"
"Night","93","39"
"Day","139","24"
"Unknown","100","0"
"Motor Vehicle Theft","273","221"
"Automotive","142","102"
"Trucks and Buses","106","92"
"Other","25","27"
"Larceny-Theft","1,511","1,324"
"Type","",""
"Pocket-Picking","1","10"
"Purse-Snatching","5","7"
"Shoplifting","198","328"
"From Motor Vehicle","551","238"
"Motor Vehicle Accessories","137","74"
"Bicycles","145","76"
"From Building","67","163"
"Coin Operated Machine","5","4"
"Other","402","424"
"Value","",""
"Over $400","756","null"
"Over $200","0","855"
"$200 through $400","178","null"
"$50 through $199","210","181"
"Under $50","367","288"
"Arson","14","24"
"Structural Property","6","4"
"Mobile Property","1","1"
"Other Property","7","19"
