" ","2020","2024"
"Crimes","",""
"Violent Crimes","4,922","4,978"
"Homicide","49","36"
"Rape (Forcible Rape prior to 2014)","202","289"
"Rape","156","286"
"Attempted Rape","46","3"
"Robbery","2,490","2,235"
"Weapon","",""
"Firearm","376","403"
"Knife or Cutting Instrument","188","171"
"Other Weapon","256","207"
"Strong-Arm","1,670","1,454"
"Location","",""
"Highway","455","449"
"Commercial","124","59"
"Gas Station","8","6"
"Convenience Store","164","81"
"Residence","44","27"
"Bank","19","13"
"Miscellaneous","1,676","1,600"
"Aggravated Assault","2,181","2,418"
"Weapon","",""
"Firearm","287","254"
"Knife or Cutting Instrument","318","324"
"Other Weapon","1,007","1,038"
"Hands  Fists  Feet","569","802"
"Property Crimes","39,403","32,871"
"Burglary","7,513","5,217"
"Means of Entry","",""
"Forcible Entry","4,393","3,000"
"No Force","3,120","2,217"
"Location / Time","",""
"Residence","2,670","1,887"
"Night","1,601","1,053"
"Day","1,068","834"
"Unknown","1","0"
"Non-Residence","4,843","3,330"
"Night","3,240","2,313"
"Day","1,600","1,011"
"Unknown","3","6"
"Motor Vehicle Theft","5,989","5,499"
"Automotive","4,158","4,037"
"Trucks and Buses","773","518"
"Other","1,058","944"
"Larceny-Theft","25,901","22,155"
"Type","",""
"Pocket-Picking","330","477"
"Purse-Snatching","14","9"
"Shoplifting","1,525","2,909"
"From Motor Vehicle","14,284","8,876"
"Motor Vehicle Accessories","374","465"
"Bicycles","486","302"
"From Building","1,814","1,719"
"Coin Operated Machine","3","0"
"Other","7,071","7,398"
"Value","",""
"Over $400","16,665","null"
"Over $200","0","15,087"
"$200 through $400","2,972","null"
"$50 through $199","3,083","2,645"
"Under $50","3,181","4,423"
"Arson","381","271"
"Structural Property","119","168"
"Mobile Property","114","100"
"Other Property","148","3"
