" ","2020","2024"
"Crimes","",""
"Violent Crimes","1,754","1,927"
"Homicide","16","12"
"Rape (Forcible Rape prior to 2014)","283","234"
"Rape","275","225"
"Attempted Rape","8","9"
"Robbery","520","502"
"Weapon","",""
"Firearm","95","93"
"Knife or Cutting Instrument","46","53"
"Other Weapon","29","66"
"Strong-Arm","350","290"
"Location","",""
"Highway","172","158"
"Commercial","118","110"
"Gas Station","18","11"
"Convenience Store","33","36"
"Residence","56","46"
"Bank","7","9"
"Miscellaneous","116","132"
"Aggravated Assault","935","1,179"
"Weapon","",""
"Firearm","104","129"
"Knife or Cutting Instrument","127","158"
"Other Weapon","291","496"
"Hands  Fists  Feet","413","396"
"Property Crimes","15,604","12,204"
"Burglary","2,155","901"
"Means of Entry","",""
"Forcible Entry","1,104","239"
"No Force","1,051","662"
"Location / Time","",""
"Residence","899","497"
"Night","381","239"
"Day","418","204"
"Unknown","100","54"
"Non-Residence","1,256","404"
"Night","547","209"
"Day","560","166"
"Unknown","149","29"
"Motor Vehicle Theft","2,199","1,665"
"Automotive","1,443","1,426"
"Trucks and Buses","493","134"
"Other","263","105"
"Larceny-Theft","11,250","9,638"
"Type","",""
"Pocket-Picking","59","155"
"Purse-Snatching","26","57"
"Shoplifting","1,221","3,668"
"From Motor Vehicle","4,635","1,917"
"Motor Vehicle Accessories","1,343","902"
"Bicycles","837","316"
"From Building","1,043","997"
"Coin Operated Machine","25","11"
"Other","2,061","1,615"
"Value","",""
"Over $400","5,015","null"
"Over $200","0","5,660"
"$200 through $400","1,469","null"
"$50 through $199","1,704","1,783"
"Under $50","3,062","2,195"
"Arson","103","87"
"Structural Property","57","15"
"Mobile Property","2","16"
"Other Property","44","56"
