" ","2020","2024"
"Crimes","",""
"Violent Crimes","6,141","8,139"
"Homicide","53","35"
"Rape (Forcible Rape prior to 2014)","806","1,021"
"Rape","796","1,003"
"Attempted Rape","10","18"
"Robbery","1,704","1,923"
"Weapon","",""
"Firearm","369","286"
"Knife or Cutting Instrument","199","197"
"Other Weapon","181","264"
"Strong-Arm","955","1,176"
"Location","",""
"Highway","659","539"
"Commercial","374","540"
"Gas Station","47","46"
"Convenience Store","185","167"
"Residence","165","184"
"Bank","22","20"
"Miscellaneous","252","427"
"Aggravated Assault","3,578","5,160"
"Weapon","",""
"Firearm","682","646"
"Knife or Cutting Instrument","757","919"
"Other Weapon","1,568","2,332"
"Hands  Fists  Feet","571","1,263"
"Property Crimes","43,690","44,677"
"Burglary","7,233","6,735"
"Means of Entry","",""
"Forcible Entry","5,312","4,788"
"No Force","1,921","1,947"
"Location / Time","",""
"Residence","2,702","2,667"
"Night","855","1,251"
"Day","721","1,251"
"Unknown","1,126","165"
"Non-Residence","4,531","4,068"
"Night","2,221","2,466"
"Day","735","1,431"
"Unknown","1,575","171"
"Motor Vehicle Theft","9,926","8,709"
"Automotive","6,491","6,245"
"Trucks and Buses","2,819","1,851"
"Other","616","613"
"Larceny-Theft","26,531","29,233"
"Type","",""
"Pocket-Picking","82","347"
"Purse-Snatching","77","147"
"Shoplifting","2,247","7,270"
"From Motor Vehicle","10,837","7,089"
"Motor Vehicle Accessories","3,894","3,882"
"Bicycles","2,356","1,434"
"From Building","1,606","2,546"
"Coin Operated Machine","34","19"
"Other","5,398","6,499"
"Value","",""
"Over $400","12,824","null"
"Over $200","0","17,862"
"$200 through $400","3,261","null"
"$50 through $199","3,510","4,146"
"Under $50","6,936","7,225"
"Arson","389","326"
"Structural Property","171","68"
"Mobile Property","48","46"
"Other Property","170","212"
