" ","2020","2024"
"Crimes","",""
"Violent Crimes","2,350","2,152"
"Homicide","40","26"
"Rape (Forcible Rape prior to 2014)","275","194"
"Rape","271","187"
"Attempted Rape","4","7"
"Robbery","589","551"
"Weapon","",""
"Firearm","181","152"
"Knife or Cutting Instrument","45","40"
"Other Weapon","43","84"
"Strong-Arm","320","275"
"Location","",""
"Highway","157","143"
"Commercial","130","123"
"Gas Station","35","7"
"Convenience Store","38","45"
"Residence","62","49"
"Bank","7","9"
"Miscellaneous","160","175"
"Aggravated Assault","1,446","1,381"
"Weapon","",""
"Firearm","478","262"
"Knife or Cutting Instrument","128","171"
"Other Weapon","410","499"
"Hands  Fists  Feet","430","449"
"Property Crimes","10,689","10,100"
"Burglary","2,751","1,450"
"Means of Entry","",""
"Forcible Entry","1,686","366"
"No Force","1,065","1,084"
"Location / Time","",""
"Residence","763","420"
"Night","283","183"
"Day","370","211"
"Unknown","110","26"
"Non-Residence","1,988","1,030"
"Night","957","658"
"Day","875","325"
"Unknown","156","47"
"Motor Vehicle Theft","2,243","1,705"
"Automotive","1,464","1,370"
"Trucks and Buses","552","256"
"Other","227","79"
"Larceny-Theft","5,695","6,945"
"Type","",""
"Pocket-Picking","24","43"
"Purse-Snatching","12","14"
"Shoplifting","721","1,866"
"From Motor Vehicle","1,936","2,187"
"Motor Vehicle Accessories","1,074","826"
"Bicycles","123","159"
"From Building","601","326"
"Coin Operated Machine","9","2"
"Other","1,195","1,522"
"Value","",""
"Over $400","2,342","null"
"Over $200","0","4,060"
"$200 through $400","741","null"
"$50 through $199","906","1,055"
"Under $50","1,706","1,830"
"Arson","177","114"
"Structural Property","134","20"
"Mobile Property","2","16"
"Other Property","41","78"
