" ","2020","2024"
"Crimes","",""
"Violent Crimes","2,212","1,350"
"Homicide","10","6"
"Rape (Forcible Rape prior to 2014)","239","285"
"Rape","230","272"
"Attempted Rape","9","13"
"Robbery","266","218"
"Weapon","",""
"Firearm","45","31"
"Knife or Cutting Instrument","32","29"
"Other Weapon","82","28"
"Strong-Arm","107","130"
"Location","",""
"Highway","54","45"
"Commercial","41","54"
"Gas Station","4","5"
"Convenience Store","15","8"
"Residence","23","30"
"Bank","1","5"
"Miscellaneous","128","71"
"Aggravated Assault","1,697","841"
"Weapon","",""
"Firearm","181","96"
"Knife or Cutting Instrument","200","143"
"Other Weapon","542","349"
"Hands  Fists  Feet","774","253"
"Property Crimes","6,412","5,270"
"Burglary","1,272","894"
"Means of Entry","",""
"Forcible Entry","409","549"
"No Force","863","345"
"Location / Time","",""
"Residence","319","327"
"Night","92","115"
"Day","89","209"
"Unknown","138","3"
"Non-Residence","953","567"
"Night","393","208"
"Day","242","348"
"Unknown","318","11"
"Motor Vehicle Theft","732","602"
"Automotive","447","446"
"Trucks and Buses","166","114"
"Other","119","42"
"Larceny-Theft","4,408","3,774"
"Type","",""
"Pocket-Picking","11","20"
"Purse-Snatching","17","16"
"Shoplifting","483","1,054"
"From Motor Vehicle","1,498","753"
"Motor Vehicle Accessories","583","271"
"Bicycles","262","225"
"From Building","275","194"
"Coin Operated Machine","5","3"
"Other","1,274","1,238"
"Value","",""
"Over $400","2,117","null"
"Over $200","0","2,423"
"$200 through $400","516","null"
"$50 through $199","543","630"
"Under $50","1,232","721"
"Arson","74","85"
"Structural Property","35","23"
"Mobile Property","19","11"
"Other Property","20","51"
