"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0400000US06","California","13434847","19805","4.4","0.1","3.0","0.1","5.2","0.1","5.5","0.1","8.4","0.1","13.3","0.1","11.8","0.1","17.9","0.1","11.1","0.1","19.4","0.1","96334","298","136730","407","39.6","(X)","(X)","(X)","(X)","(X)","9144470","24253","2.8","0.1","1.5","0.1","3.8","0.1","4.7","0.1","7.8","0.1","12.9","0.1","12.0","0.1","19.0","0.1","12.5","0.1","22.9","0.1","110108","451","152870","522","(X)","(X)","41.6","(X)","(X)","(X)","6555957","28837","1.4","0.1","0.8","0.1","2.6","0.1","3.2","0.1","6.0","0.1","11.0","0.1","11.4","0.1","20.0","0.1","14.5","0.1","29.0","0.2","132245","467","178126","579","(X)","(X)","(X)","(X)","(X)","(X)","4290377","14389","8.9","0.1","6.6","0.1","8.9","0.1","7.9","0.1","10.4","0.1","14.5","0.2","11.2","0.2","14.3","0.2","7.2","0.1","10.0","0.1","61846","316","93218","499","(X)","(X)","(X)","(X)","33.3","(X)",
"860Z200US89010","ZCTA5 89010","165","58","0.0","20.2","0.0","20.2","24.8","16.0","9.7","7.9","13.9","10.0","18.8","16.0","9.1","9.5","18.8","13.5","4.8","5.7","0.0","20.2","58125","32830","68153","15869","30.3","(X)","(X)","(X)","(X)","(X)","109","47","0.0","28.4","0.0","28.4","2.8","5.1","0.0","28.4","19.3","15.5","28.4","21.6","13.8","14.6","28.4","18.4","7.3","8.7","0.0","28.4","74911","36744","90039","16815","(X)","(X)","35.8","(X)","(X)","(X)","96","45","0.0","31.2","0.0","31.2","0.0","31.2","0.0","31.2","11.5","13.6","32.3","23.9","15.6","16.5","32.3","20.5","8.3","10.1","0.0","31.2","92955","43975","N","N","(X)","(X)","(X)","(X)","(X)","(X)","56","35","0.0","42.6","0.0","42.6","67.9","23.9","28.6","23.2","3.6","6.4","0.0","42.6","0.0","42.6","0.0","42.6","0.0","42.6","0.0","42.6","23958","1293","25555","2732","(X)","(X)","(X)","(X)","19.6","(X)",
"860Z200US89019","ZCTA5 89019","1198","315","0.0","3.1","3.3","3.9","17.9","10.1","22.6","17.5","5.8","4.2","18.6","9.8","3.8","3.7","15.4","10.1","10.7","8.7","1.8","2.8","50106","25129","70883","19584","41.0","(X)","(X)","(X)","(X)","(X)","623","177","0.0","5.8","0.0","5.8","5.6","6.0","3.7","5.9","9.6","6.2","33.5","14.2","6.4","7.1","25.4","15.6","12.4","12.7","3.4","5.3","61851","47736","94054","21289","(X)","(X)","58.9","(X)","(X)","(X)","535","148","0.0","6.8","0.0","6.8","6.5","6.8","4.3","6.8","4.1","4.7","39.1","16.5","7.5","7.9","20.2","14.1","14.4","14.6","3.9","6.2","61563","40514","N","N","(X)","(X)","(X)","(X)","(X)","(X)","575","320","0.0","6.3","7.0","8.7","31.1","19.4","43.1","27.7","1.7","3.6","2.4","5.0","2.1","3.4","3.7","5.4","8.9","12.6","0.0","6.3","25771","1116","43087","21034","(X)","(X)","(X)","(X)","21.6","(X)",
"860Z200US89060","ZCTA5 89060","5163","473","5.1","3.0","4.2","2.6","13.8","4.1","10.0","3.5","18.0","4.4","15.9","5.6","11.3","3.6","9.8","3.2","3.5","2.0","8.3","3.1","49008","8698","75975","10690","44.5","(X)","(X)","(X)","(X)","(X)","3027","420","4.5","4.7","1.9","1.6","11.4","5.3","8.6","4.0","17.5","5.6","20.3","8.8","7.9","3.6","12.5","4.7","4.2","3.0","11.4","4.8","59252","11924","88126","16399","(X)","(X)","44.8","(X)","(X)","(X)","2486","400","4.0","5.4","1.9","1.9","9.3","4.5","8.2","4.3","16.7","6.5","22.8","9.9","9.1","4.5","9.1","4.5","5.1","3.5","13.7","5.8","63539","9415","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2136","376","6.0","3.2","7.6","5.6","17.2","6.9","14.4","6.5","18.7","7.2","9.7","5.2","14.4","6.9","5.9","3.7","2.1","2.1","4.0","3.3","36966","5690","54294","7762","(X)","(X)","(X)","(X)","37.9","(X)",
"860Z200US89061","ZCTA5 89061","3400","339","1.7","1.2","1.0","1.2","4.6","3.5","6.5","4.0","20.8","7.2","18.7","5.2","9.9","3.4","27.3","8.0","5.6","3.2","3.9","3.1","69609","10478","87289","10781","41.2","(X)","(X)","(X)","(X)","(X)","2402","320","2.0","1.6","1.4","1.7","1.3","1.4","5.7","4.8","18.6","7.7","20.5","6.3","13.0","4.8","25.4","10.3","7.9","4.4","4.2","4.2","75451","12159","94072","12718","(X)","(X)","40.9","(X)","(X)","(X)","1932","281","2.2","1.9","0.0","1.9","1.6","1.8","7.1","6.0","15.6","7.7","20.4","6.6","15.1","5.7","22.9","11.6","9.8","5.6","5.2","5.2","77049","13677","N","N","(X)","(X)","(X)","(X)","(X)","(X)","998","272","1.2","2.2","0.0","3.7","12.7","11.0","8.4","6.7","29.1","14.1","14.3","9.2","4.3","4.1","26.8","13.9","1.4","2.3","1.8","3.0","47667","23873","67051","10905","(X)","(X)","(X)","(X)","42.1","(X)",
"860Z200US89439","ZCTA5 89439","1036","126","2.3","3.9","4.5","4.4","13.6","9.6","7.7","7.2","5.9","5.5","4.3","4.3","13.2","8.2","9.5","6.5","12.8","9.0","26.1","9.1","98068","31611","142472","28068","21.6","(X)","(X)","(X)","(X)","(X)","620","140","0.0","5.9","0.0","5.9","6.0","6.7","9.2","9.7","5.3","5.6","1.1","1.7","10.5","9.6","12.3","10.7","12.1","6.9","43.5","13.8","178173","51854","194342","41588","(X)","(X)","29.5","(X)","(X)","(X)","578","138","0.0","6.3","0.0","6.3","6.4","7.1","6.1","9.2","5.7","6.0","1.2","1.8","7.8","8.4","13.1","11.1","13.0","7.3","46.7","14.9","188214","56585","N","N","(X)","(X)","(X)","(X)","(X)","(X)","416","111","5.8","9.8","11.3","11.5","25.0","20.8","10.8","11.9","8.9","10.5","7.0","9.6","12.0","10.9","5.3","8.6","13.9","20.3","0.0","8.6","-","**","60356","28052","(X)","(X)","(X)","(X)","7.9","(X)",
"860Z200US90001","ZCTA5 90001","13416","568","5.9","1.3","2.5","0.8","8.0","1.6","9.7","1.6","15.8","2.2","20.2","2.9","15.0","3.2","14.1","2.0","5.4","1.2","3.6","1.0","60751","3280","75364","5193","48.2","(X)","(X)","(X)","(X)","(X)","11275","620","4.2","1.2","1.2","0.5","6.5","1.7","11.6","2.0","16.2","2.4","20.3","3.0","17.1","3.6","14.0","2.1","5.7","1.6","3.1","1.0","62141","4352","76801","5851","(X)","(X)","47.9","(X)","(X)","(X)","5969","438","2.0","1.2","0.7","0.6","6.9","2.3","7.8","2.3","16.4","3.0","22.2","5.1","16.9","4.0","17.4","2.9","6.6","2.5","3.2","1.3","67442","5411","80102","4758","(X)","(X)","(X)","(X)","(X)","(X)","2141","270","18.2","5.8","9.9","4.3","17.7","5.0","14.7","5.6","14.4","5.0","12.4","4.4","7.0","4.1","2.3","1.5","0.4","0.4","3.1","2.5","27383","6972","41329","6810","(X)","(X)","(X)","(X)","40.0","(X)",
"860Z200US90002","ZCTA5 90002","13319","438","6.0","1.7","8.1","1.6","9.4","1.8","9.6","1.8","11.7","2.2","18.3","2.7","15.2","2.6","13.8","2.0","4.8","1.5","3.2","0.9","56158","3580","71839","5314","52.4","(X)","(X)","(X)","(X)","(X)","10522","489","5.1","1.7","3.5","1.3","9.9","2.2","8.9","2.1","13.2","2.6","20.0","2.8","16.4","2.7","14.1","2.2","5.6","1.9","3.2","1.0","60609","4819","75969","6109","(X)","(X)","52.4","(X)","(X)","(X)","4693","428","1.4","1.3","2.6","1.5","7.2","2.5","5.9","2.5","14.3","4.1","17.0","3.7","18.9","3.7","19.3","3.8","8.4","3.2","4.9","1.9","78338","7139","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2797","366","15.1","5.5","25.4","5.8","11.1","5.0","12.6","4.6","11.6","4.6","11.2","5.1","7.9","3.0","2.6","2.4","1.5","1.7","0.9","1.1","23646","6065","36334","6304","(X)","(X)","(X)","(X)","45.9","(X)",
"860Z200US90003","ZCTA5 90003","17634","686","8.6","1.6","6.4","1.4","8.1","1.4","9.3","1.8","13.6","1.8","18.1","2.5","13.7","2.2","13.0","2.0","5.3","1.2","3.8","0.9","54781","3882","68591","3332","59.3","(X)","(X)","(X)","(X)","(X)","13952","673","7.4","1.8","4.7","1.3","7.3","1.7","10.3","2.0","13.7","2.4","20.2","2.5","13.9","2.5","14.3","2.4","5.3","1.2","2.8","0.9","57125","5786","69159","3615","(X)","(X)","62.3","(X)","(X)","(X)","6424","493","1.6","1.2","1.2","1.1","4.2","1.8","9.4","2.9","12.7","3.0","22.5","3.8","18.3","4.3","17.6","3.6","8.7","2.4","3.8","1.3","72079","6534","84661","4988","(X)","(X)","(X)","(X)","(X)","(X)","3682","316","19.6","4.5","15.2","3.8","16.5","4.2","12.1","4.2","10.3","3.3","11.9","3.9","5.6","2.6","3.7","2.6","2.0","1.7","3.1","2.3","23949","4347","40314","5882","(X)","(X)","(X)","(X)","41.1","(X)",
